model,is_poison,epoch,lr,acc
Target_ResNet_18,False,68,1.7131355224609375,36.620000000000005
Target_ResNet_18,True,69,2.501191375732422,0%
Target_ResNet_18,False,69,1.7147184204101562,35.78
Target_ResNet_18,True,70,2.498126411437988,0%
Target_ResNet_18,False,70,1.7051257202148438,36.85
Target_ResNet_18,True,71,2.532678840637207,0%
Target_ResNet_18,False,71,1.7087190795898437,36.7
Target_ResNet_18,True,72,2.5159086380004885,0%
Target_ResNet_18,False,72,1.694609228515625,38.75
Target_ResNet_18,True,73,2.599248306274414,0%
Target_ResNet_18,False,73,1.68211259765625,39.77
Target_ResNet_18,True,74,2.5698354568481445,0%
Target_ResNet_18,False,74,1.6753025024414063,39.86
Target_ResNet_18,True,75,2.5731272506713867,0%
Target_ResNet_18,False,75,1.672874169921875,40.19
Target_ResNet_18,True,76,2.577429336547852,0%
Target_ResNet_18,False,76,1.6666351318359376,40.760000000000005
Target_ResNet_18,True,77,2.5000184326171877,0%
Target_ResNet_18,False,77,1.6633493041992187,40.56
Target_ResNet_18,True,78,2.572829307556152,0%
Target_ResNet_18,False,78,1.6542370727539062,40.8
Target_ResNet_18,True,79,2.5765126190185548,0%
Target_ResNet_18,False,79,1.6571616821289064,40.35
Target_ResNet_18,True,80,2.695837577819824,0%
Target_ResNet_18,False,80,1.6601544555664063,39.2
Target_ResNet_18,True,81,2.700956787109375,0%
Target_ResNet_18,False,81,1.6466502197265624,40.37
Target_ResNet_18,True,82,2.6985280685424806,0%
Target_ResNet_18,False,82,1.641019482421875,40.42
Target_ResNet_18,True,83,2.746635009765625,0%
Target_ResNet_18,False,83,1.641322412109375,40.410000000000004
Target_ResNet_18,True,84,2.7959802322387697,0%
Target_ResNet_18,False,84,1.6338993530273438,40.61
Target_ResNet_18,True,85,2.845461799621582,0%
Target_ResNet_18,False,85,1.6337364868164062,41.04
Target_ResNet_18,True,86,2.853262542724609,0%
Target_ResNet_18,False,86,1.6266910400390624,41.370000000000005
Target_ResNet_18,True,87,2.7866673965454103,0%
Target_ResNet_18,False,87,1.6266992309570312,41.949999999999996
Target_ResNet_18,True,88,2.8243735733032227,0%
Target_ResNet_18,False,88,1.6320021240234375,41.43
Target_ResNet_18,True,89,2.883790580749512,0%
Target_ResNet_18,False,89,1.6272232666015625,41.349999999999994
Target_ResNet_18,True,90,2.869137664794922,0%
Target_ResNet_18,False,90,1.6207966552734374,41.68
Target_ResNet_18,True,91,2.9515171966552733,0%
Target_ResNet_18,False,91,1.6095927124023437,41.589999999999996
Target_ResNet_18,True,92,2.905639823913574,0%
Target_ResNet_18,False,92,1.6080887817382812,41.449999999999996
Target_ResNet_18,True,93,2.899656692504883,0%
Target_ResNet_18,False,93,1.5960876342773438,42.69
Target_ResNet_18,True,94,2.854246620178223,0%
Target_ResNet_18,False,94,1.5901745971679688,43.309999999999995
Target_ResNet_18,True,95,2.8373695526123046,0%
Target_ResNet_18,False,95,1.58968017578125,42.78
Target_ResNet_18,True,96,2.942139419555664,0%
Target_ResNet_18,False,96,1.5941166259765625,42.89
Target_ResNet_18,True,97,2.913513122558594,0%
Target_ResNet_18,False,97,1.5928628051757812,43.03
Target_ResNet_18,True,98,2.9642143402099608,0%
Target_ResNet_18,False,98,1.586776953125,42.94
Target_ResNet_18,True,99,3.042968200683594,0%
Target_ResNet_18,False,99,1.5779505737304687,42.63
Target_ResNet_18,True,100,3.1026867904663087,0%
Target_ResNet_18,False,100,1.5750802734375,42.6
Target_ResNet_18,True,101,2.9424792556762696,0%
Target_ResNet_18,False,101,1.5889254516601563,42.78
Target_ResNet_18,True,102,2.9890912017822266,0%
Target_ResNet_18,False,102,1.580574560546875,43.36
Target_ResNet_18,True,103,2.967068168640137,0%
Target_ResNet_18,False,103,1.577205029296875,43.03
Target_ResNet_18,True,104,2.961876403808594,0%
Target_ResNet_18,False,104,1.5703192504882812,42.870000000000005
Target_ResNet_18,True,105,3.0156781387329104,0%
